aearep,numbered_dir,readme_relpath,format,pages,words
aearep-1636,128201,README.pdf,pdf,3,535
aearep-4802,224941,moretti_comment/README.txt,txt,,1153
aearep-5642,202063,replication/README.txt,txt,,1892
aearep-6220,208762,README.pdf,pdf,11,2980
aearep-6381,209465,README.pdf,pdf,10,2329
aearep-6581,210787,README.md,md,,3247
aearep-6645,235424,README.pdf,pdf,3,789
aearep-6872,216461,Code for AEJApp-2024-0092/README.pdf,pdf,9,2182
aearep-7024,218921,gem_dataandanalysisrepo/README.pdf,pdf,8,2140
aearep-7169,221101,README.pdf,pdf,4,1126
aearep-7171,222221,replication/README.pdf,pdf,5,1784
aearep-7712,232045,README.pdf,pdf,9,2097
aearep-7860,235025,README_Saavedra(2026)_TechStateCapacity.pdf,pdf,7,1877
aearep-7926,236844,Replication package repository/Readme.pdf,pdf,46,7998
aearep-7942,236581,Files/Other/README_AER_2020_1088.pdf,pdf,7,2490
aearep-8010,237167,ReadMe.pdf,pdf,1,169
aearep-8036,237161,Judicial Independence in an Unstable Political Order/Readme.pdf,pdf,8,1121
aearep-8047,237204,Lottery Peers Replication/README.pdf,pdf,3,653
aearep-8100,237438,README.pdf,pdf,9,3016
aearep-8164,237844,README.pdf,pdf,12,2680
aearep-8168,237561,replication-elite-universities/README.md,md,,4403
aearep-8175,237785,_ReadMe.pdf,pdf,3,1325
aearep-8195,237661,README.pdf,pdf,7,1799
aearep-8217,237981,replication_package/README.pdf,pdf,17,5256
aearep-8224,227701,Public/README.pdf,pdf,15,2835
aearep-8257,237855,policeovertime_replication/readme.pdf,pdf,13,1693
aearep-8270,240748,README.pdf,pdf,1,54
aearep-8308,238543,Replication_package/README.pdf,pdf,21,3355
aearep-8321,238650,Readme.pdf,pdf,17,6247
aearep-8328,238702,Replication files/README.pdf,pdf,5,1250
aearep-8329,238659,project/README.pdf,pdf,19,5900
aearep-8366,238827,MFCJ_AER_REPLICATION/2026_MFCJ_ReadMe.pdf,pdf,13,3414
aearep-8411,239101,README.pdf,pdf,14,5730
aearep-8434,239702,Replication/README.pdf,pdf,6,1486
aearep-8470,237664,README.pdf,pdf,9,2437
aearep-8529,240344,README_new.pdf,pdf,9,1216
aearep-8531,240482,README_AEJ_FULL.pdf,pdf,5,901
aearep-8534,239121,replication_package/Empirics/Figure 2/Read Me.txt,txt,,59
aearep-8541,240508,README.pdf,pdf,27,8555
aearep-8543,238981,README.pdf,pdf,42,10382
aearep-8552,240342,README.pdf,pdf,43,10921
aearep-8590,239796,BonusReplication/README.pdf,pdf,10,3010
aearep-8600,241531,project/trade_persist/README.pdf,pdf,9,2597
aearep-8604,240509,replication_package/readme.pdf,pdf,12,3048
aearep-8630,241263,README.pdf,pdf,20,4330
aearep-8644,241344,README.pdf,pdf,22,4821
aearep-8650,246746,DataCodeScars/README.pdf,pdf,19,4828
aearep-8654,241348,README.pdf,pdf,5,1011
aearep-8671,241499,replication/README.pdf,pdf,8,1855
aearep-8673,241324,ReadMe.pdf,pdf,4,1280
aearep-8673,241324-sivacor,project/ReadME.pdf,pdf,5,1661
aearep-8678,241510,Final-Package-AER/README.pdf,pdf,6,2025
aearep-8679,241205,README.pdf,pdf,7,1831
aearep-8681,241363,README.pdf,pdf,5,1410
